Gemeente;Gemnr;Aantal
peildatum 16 maart 14:00;-2;
* postcode ontbreekt bij 70 pt en 1 woont in buitenland;-1;13
Aalsmeer;358;3
Albrandswaard;613;2
Alkmaar;361;2
Almelo;141;1
Almere;34;3
Alphen aan den Rijn;484;6
Alphen-Chaam;1723;2
Altena;1959;12
Amersfoort;307;18
Amstelveen;362;4
Amsterdam;363;39
Apeldoorn;200;7
Arnhem;202;7
Asten;743;1
Barendrecht;489;3
Barneveld;203;3
Beek;888;3
Beekdaelen;1954;13
Berg en Dal;1945;10
Bergeijk;1724;1
Bergen (NH.);373;1
Bergen op Zoom;748;4
Bernheze;1721;19
Best;753;4
Beuningen;209;5
Beverwijk;375;5
Bladel;1728;1
Blaricum;376;1
Bloemendaal;377;1
Bodegraven-Reeuwijk;1901;1
Boekel;755;14
Borne;147;3
Borsele;654;2
Boxmeer;756;1
Boxtel;757;3
Breda;758;86
Bronckhorst;1876;2
Buren;214;4
Castricum;383;5
Coevorden;109;11
Cranendonck;1706;2
Cuijk;1684;2
Culemborg;216;2
Dalfsen;148;1
De Bilt;310;13
De Fryske Marren;1940;3
De Ronde Venen;736;2
De Wolden;1690;1
Delft;503;2
Den Helder;400;1
Deurne;762;5
Deventer;150;2
Diemen;384;2
Dinkelland;1774;5
Doesburg;221;1
Dongen;766;5
Dordrecht;505;1
Drimmelen;1719;7
Dronten;303;7
Druten;225;5
Duiven;226;1
Ede;228;2
Eersel;770;2
Eijsden-Margraten;1903;4
Eindhoven;772;21
Elburg;230;1
Emmen;114;1
Enkhuizen;388;1
Enschede;153;3
Epe;232;2
Ermelo;233;8
Etten-Leur;777;10
Geertruidenberg;779;3
Geldrop-Mierlo;1771;3
Gemert-Bakel;1652;20
Gennep;907;1
Gilze en Rijen;784;1
Goeree-Overflakkee;1924;4
Goes;664;2
Goirle;785;9
Gooise Meren;1942;4
Gouda;513;4
Groningen;14;7
Gulpen-Wittem;1729;2
Haaksbergen;158;1
Haaren;788;7
Haarlem;392;6
Haarlemmermeer;394;2
Halderberge;1655;2
Harderwijk;243;4
Hardinxveld-Giessendam;523;5
Harlingen;72;1
Heemskerk;396;2
Heemstede;397;5
Heerde;246;2
Heerhugowaard;398;1
Heerlen;917;6
Heeze-Leende;1658;2
Heiloo;399;3
Hellendoorn;163;2
Hellevoetsluis;530;1
Helmond;794;17
Hengelo;164;3
Heumen;252;2
Heusden;797;4
Hilvarenbeek;798;4
Hoeksche Waard;1963;4
Hof van Twente;1735;1
Hoogeveen;118;2
Hoorn;405;1
Horst aan de Maas;1507;5
Houten;321;13
Huizen;406;1
IJsselstein;353;4
Katwijk;537;1
Kerkrade;928;2
Koggenland;1598;1
Krimpen aan den IJssel;542;1
Krimpenerwaard;1931;4
Laarbeek;1659;1
Landerd;1685;10
Landgraaf;882;4
Landsmeer;415;3
Langedijk;416;4
Lansingerland;1621;5
Leeuwarden;80;2
Leiden;546;8
Leiderdorp;547;1
Leidschendam-Voorburg;1916;4
Lelystad;995;8
Leudal;1640;7
Leusden;327;1
Lingewaard;1705;3
Loon op Zand;809;7
Lopik;331;1
Maasgouw;1641;2
Maassluis;556;1
Maastricht;935;24
Meerssen;938;1
Meierijstad;1948;42
Middelburg;687;1
Midden-Groningen;1952;1
Mill en Sint Hubert;815;1
Moerdijk;1709;1
Molenlanden;1978;2
Neder-Betuwe;1740;4
Nederweert;946;3
Nieuwegein;356;1
Nieuwkoop;569;1
Nijkerk;267;1
Nijmegen;268;17
Nissewaard;1930;1
Noordenveld;1699;1
Noordoostpolder;171;2
Noordwijk;575;2
Nuenen, Gerwen en Nederwetten;820;1
Nunspeet;302;2
Oegstgeest;579;4
Oirschot;823;1
Oisterwijk;824;9
Oldebroek;269;2
Oldenzaal;173;1
Ommen;175;1
Oosterhout;826;6
Opsterland;86;2
Oss;828;11
Oude IJsselstreek;1509;1
Oudewater;589;1
Overbetuwe;1734;8
Peel en Maas;1894;19
Pekela;765;1
Pijnacker-Nootdorp;1926;8
Purmerend;439;2
Putten;273;2
Raalte;177;2
Reimerswaal;703;2
Renkum;274;8
Rheden;275;1
Ridderkerk;597;1
Rijswijk;603;1
Roermond;957;2
Roosendaal;1674;6
Rotterdam;599;30
Rozendaal;277;1
Rucphen;840;1
Schagen;441;4
Schiedam;606;1
Schouwen-Duiveland;1676;2
's-Gravenhage;518;14
's-Hertogenbosch;796;20
Simpelveld;965;3
Sint Anthonis;1702;3
Sint-Michielsgestel;845;8
Sittard-Geleen;1883;38
Sluis;1714;2
Smallingerland;90;3
Soest;342;10
Someren;847;1
Son en Breugel;848;4
Staphorst;180;1
Stede Broec;532;1
Steenbergen;851;2
Stein;971;3
Stichtse Vecht;1904;7
Súdwest-Fryslân;1900;1
Terneuzen;715;1
Teylingen;1525;1
Tholen;716;1
Tiel;281;4
Tilburg;855;84
Tubbergen;183;1
Tytsjerksteradiel;737;1
Uden;856;43
Utrecht;344;48
Utrechtse Heuvelrug;1581;3
Valkenburg aan de Geul;994;1
Veenendaal;345;1
Veere;717;1
Veldhoven;861;1
Velsen;453;4
Venlo;983;6
Vijfheerenlanden;1961;3
Vlaardingen;622;1
Vlissingen;718;3
Voorst;285;1
Vught;865;3
Waalre;866;1
Waalwijk;867;10
Waddinxveen;627;1
Wassenaar;629;3
Waterland;852;3
West Betuwe;1960;3
West Maas en Waal;668;3
Westerkwartier;1969;1
Westland;1783;1
Westvoorne;614;3
Wijchen;296;5
Wijk bij Duurstede;352;3
Woerden;632;2
Woudenberg;351;1
Zaanstad;479;2
Zaltbommel;297;1
Zandvoort;473;1
Zeewolde;50;2
Zeist;355;8
Zundert;879;3
Zwartewaterland;1896;2
Zwijndrecht;642;3
Zwolle;193;6
